symbol,start_date,end_date,judge_buy_ids,judge_t_ids,judge_sell_ids,initial_capital,active,name,fully_invested
510880,2022-01-01,2025-01-01,2;6,,2,100000,0,华泰柏瑞上证红利ETF,1
601166,2022-01-01,2025-01-01,6,,2,100000,1,兴业银行,1
000895,2021-09-10,2026-01-01,6,,2,100000,1,双汇发展,1
159873,2024-01-01,2026-05-01,6,,3,100000,0,天弘中证全指医疗保健设备与服务ETF,1
159928,2024-01-01,2026-05-01,6,,3,100000,0,汇添富中证主要消费ETF,1
159647,2024-01-01,2026-05-01,6,,3,100000,0,鹏华中证中药ETF,1
002594,2024-01-01,2026-05-01,6,,3,100000,0,比亚迪,1
300782,2024-01-01,2026-05-01,5,,3,100000,0,卓胜微,1
159559,2024-01-01,2026-05-01,5,,3,100000,0,景顺长城国证机器人产业ETF,1
601888,2024-01-01,2026-05-01,6,,3,100000,0,中国中免,1
516520,2024-01-01,2026-05-01,5,,3,100000,0,华泰柏瑞中证智能汽车主题ETF,1
159770,2024-01-01,2026-05-01,5,,3,100000,0,天弘中证机器人ETF,1
300760,2024-01-01,2026-05-01,5,,3,100000,0,迈瑞医疗,1
603501,2024-01-01,2026-05-01,5,,3,100000,0,豪威集团,1
512170,2024-01-01,2026-05-01,5,,3,100000,0,华宝中证医疗ETF,1
002920,2024-01-01,2026-05-01,5,,3,100000,0,德赛西威,1
688639,2024-01-01,2026-05-01,8,,3,100000,0,华恒生物,1
300573,2024-01-01,2026-05-01,5,,3,100000,0,兴齐眼药,1
603087,2024-01-01,2026-05-01,5,,3,100000,0,甘李药业,1
600941,2024-01-01,2026-05-01,6,,3,100000,0,中国移动,0
159622,2024-01-01,2026-05-01,5,,3,100000,0,创新药ETF沪港深,1
603517,2024-01-01,2026-05-01,5,,3,100000,0,ST绝味,0
688213,2024-01-01,2026-05-01,8,,3,100000,0,思特威,1
300661,2024-01-01,2026-05-01,5,,3,100000,0,圣邦股份,1
603986,2024-01-01,2026-05-01,5,,3,100000,0,兆易创新,1
159949,2024-01-01,2026-05-01,5,,3,100000,0,华安创业板50ETF,1
515980,2024-01-01,2026-05-01,8,,3,100000,0,华富中证人工智能产业ETF,1
159667,2024-01-01,2026-05-01,5,,3,100000,0,国泰中证机床ETF,1
588710,2024-01-01,2026-05-01,8,,3,100000,0,华泰柏瑞上证科创板半导体材料设备主题ETF,1
588080,2024-01-01,2026-05-01,8,,3,100000,0,易方达上证科创板50ETF,1
159558,2024-01-01,2026-05-01,5,,3,100000,0,易方达中证半导体材料设备主题ETF,1
159562,2024-01-01,2026-05-01,6,,3,100000,0,华夏中证沪深港黄金产业股票ETF,1
512400,2024-01-01,2026-05-01,6,,3,100000,0,南方中证申万有色金属ETF,1
159870,2024-01-01,2026-05-01,6,,3,100000,0,鹏华中证细分化工产业ETF,1
515220,2024-01-01,2026-05-01,6,,3,100000,0,国泰中证煤炭ETF,1
159732,2024-01-01,2026-05-01,6,,3,100000,0,华夏国证消费电子主题ETF,1
159326,2024-01-01,2026-05-01,6,,3,100000,0,华夏中证电网设备主题ETF,1
