symbol,start_date,end_date,judge_buy_ids,judge_t_ids,judge_sell_ids,initial_capital,active
159873,2020-01-01,2026-04-10,4,,1,100000,1
159928,2020-01-01,2026-04-10,4,,1,100000,1
510880,2020-01-01,2026-04-10,1,2;6,1,100000,1
159647,2020-01-01,2026-04-10,4,,1,100000,1
002594,2020-01-01,2026-04-10,4,5,1,100000,1
300782,2020-01-01,2026-04-10,4,5,1,100000,1
159559,2020-01-01,2026-04-10,4,5,1,100000,1
601888,2020-01-01,2026-04-10,4,5,1,100000,1
516520,2020-01-01,2026-04-10,4,5,1,100000,1
159770,2020-01-01,2026-04-10,4,5,1,100000,1
300760,2020-01-01,2026-04-10,4,5,1,100000,1
603501,2020-01-01,2026-04-10,4,5,1,100000,1
512170,2020-01-01,2026-04-10,4,5,1,100000,1
002920,2020-01-01,2026-04-10,4,5,1,100000,1
688639,2020-01-01,2026-04-10,4,5,1,100000,1
300573,2020-01-01,2026-04-10,4,5,1,100000,1
603087,2020-01-01,2026-04-10,4,5,1,100000,1
600941,2020-01-01,2026-04-10,4,5,1,100000,1
159622,2020-01-01,2026-04-10,4,5,1,100000,1
603517,2020-01-01,2026-04-10,4,5,1,100000,1
688213,2020-01-01,2026-04-10,4,5,1,100000,1
300661,2020-01-01,2026-04-10,4,5,1,100000,1
