symbol,start_date,end_date,judge_buy_ids,judge_t_ids,judge_sell_ids,initial_capital,active,name,fully_invested
#红利
510880,,,2,,3.0,,1,上证红利ETF,
515180,,,2,,3.0,,1,中证红利ETF,
#美股
159502,,,4,,,,1,标普生物科技,
513650,,,4,,,,1,标普500,
513400,,,4,,,,1,道琼斯,
513290,,,4,,,,1,纳指生物科技,
159509,,,4,,,,1,纳指科技,
159941,,,4,,,,1,纳指ETF,
164824,,,4,,,,1,印度基金LOF,
160719,,,25,,,,1,嘉实黄金LOF,
#ETF
510050,,,24,,3,,1,上证50ETF,
510210,,,24,,3,,1,上证综指ETF,
159205,,,24,,3,,1,创业板ETF东财,
589850,,,24,,3,,1,科创50ETF东财,1
510300,,,24,,3,,1,沪深300ETF,
512100,,,24,,3,,1,中证1000ETF,
899050,,,24,,3,,1,北证50ETF,
588000,,,24,,3,,1,科创50ETF,
159949,,,24,,3,,1,创业板50ETF,
159920,,,24,,3,,1,恒生指数ETF,
513180,,,24,,3,,1,恒生科技ETF,
513050,,,24,,3,,1,中概互联ETF,
513200,,,24,,3,,1,港股通医药ETF,
159736,,,24,,3,,1,港股通消费ETF,
517520,,,24,,3,,1,黄金股ETF,
512400,,,24,,3,,1,有色金属ETF,
515230,,,24,,3,,1,软件ETF,
159995,,,24,,3,,1,芯片ETF,
512480,,,24,,3,,1,半导体ETF,
588200,,,24,,3,,1,科创芯片ETF,
159819,,,24,,3,,1,人工智能ETF,
512720,,,24,,3,,1,计算机ETF,
515880,,,24,,3,,1,通信ETF,
159732,,,24,,3,,1,消费电子ETF,
515400,,,24,,3,,1,大数据ETF,
562500,,,24,,3,,1,机器人ETF,
516520,,,24,,3,,1,智能驾驶ETF,
516380,,,24,,3,,1,智能电动车ETF,
159565,,,24,,3,,1,汽车零部件ETF,
512170,,,24,,3,,1,医疗ETF,
512010,,,24,,3,,1,医药ETF,
159992,,,24,,3,,1,创新药ETF,
512290,,,24,,3,,1,生物医药ETF,
560080,,,24,,3,,1,中药ETF,
515030,,,24,,3,,1,新能源车ETF,
515790,,,24,,3,,1,光伏ETF,
159755,,,24,,3,,1,电池ETF,
159790,,,24,,3,,1,碳中和ETF,
159611,,,24,,3,,1,电力ETF,
562550,,,24,,3,,1,绿电ETF,
512690,,,24,,3,,1,酒ETF,
515710,,,24,,3,,1,食品ETF,
159996,,,24,,3,,1,家电ETF,
159766,,,24,,3,,1,旅游ETF,
159825,,,24,,3,,1,农业ETF,
159928,,,24,,3,,1,消费ETF,
512800,,,24,,3,,1,银行ETF,
512880,,,24,,3,,1,证券ETF,
512070,,,24,,3,,1,保险ETF,
512660,,,24,,3,,1,军工ETF,
515210,,,24,,3,,1,钢铁ETF,
515220,,,24,,3,,1,煤炭ETF,
516020,,,24,,3,,1,化工ETF,
516150,,,24,,3,,1,稀土ETF,
560960,,,24,,3,,1,船舶ETF,
516010,,,24,,3,,1,游戏ETF,
512980,,,24,,3,,1,传媒ETF,
159869,,,24,,3,,1,动漫游戏ETF,
159667,,,24,,3,,1,工业母机ETF,
516950,,,24,,3,,1,基建ETF,
159666,,,24,,3,,1,交运ETF,
#价值股
600750,,,26,,,,1,华润江中,
600285,,,26,,,,1,羚锐制药,
600690,,,26,,,,1,海尔智家,
002032,,,26,,,,1,苏泊尔,
000333,,,26,,,,1,美的集团,
000895,,,26,,,,1,双汇发展,
600519,,,26,,,,1,贵州茅台,
600887,,,26,,,,1,伊利股份,
600941,,,26,,,,1,中国移动,
600809,,,17,,,,1,山西汾酒,
000651,,,17,,,,1,格力电器,
000538,,,17,,,,1,云南白药,
600036,,,17,,,,1,招商银行,
601166,,,17,,,,1,兴业银行,
601318,,,17,,,,1,中国平安,
601628,,,17,,,,1,中国人寿,
601857,,,17,,,,1,中国石油,
600028,,,17,,,,1,中国石化,
600938,,,17,,,,1,中国海油,
600900,,,17,,,,1,长江电力,
600886,,,17,,,,1,国投电力,
600377,,,26,,,,1,宁沪高速,
603195,,,17,,,,1,公牛集团,
600015,,,26,,,,1,华夏银行,
000429,,,26,,,,1,粤高速,
601601,,,17,,,,1,中国太保,
002555,,,17,,,,1,三七互娱,
600406,,,17,,,,1,国电南瑞,
600585,,,17,,,,1,海螺水泥,
600085,,,17,,,,1,同仁堂,
000425,,,17,,,,1,徐工机械,
600132,,,17,,,,1,重庆啤酒,
600600,,,17,,,,1,青岛啤酒,
#债券
511580,,,22,,,,1,国债政金债,
511010,,,22,,,,1,国债ETF,
511520,,,22,,,,1,政金债券,
#趋势股

#持仓股
