symbol,start_date,end_date,write_to_db
159873,2020-01-01,2026-04-10,1
159928,2020-01-01,2026-04-10,0
510880,2020-01-01,2026-04-10,0
159647,2020-01-01,2026-04-10,0
002594,2020-01-01,2026-04-10,0
300782,2020-01-01,2026-04-10,0
159559,2020-01-01,2026-04-10,0
601888,2020-01-01,2026-04-10,0
516520,2020-01-01,2026-04-10,0
159770,2020-01-01,2026-04-10,0
300760,2020-01-01,2026-04-10,0
603501,2020-01-01,2026-04-10,0
512170,2020-01-01,2026-04-10,0
002920,2020-01-01,2026-04-10,0
688639,2020-01-01,2026-04-10,0
300573,2020-01-01,2026-04-10,0
603087,2020-01-01,2026-04-10,0
600941,2020-01-01,2026-04-10,0
159622,2020-01-01,2026-04-10,0
603517,2020-01-01,2026-04-10,0
688213,2020-01-01,2026-04-10,0
300661,2020-01-01,2026-04-10,0
